id	name	age	country	hometown	height	arm_span
1	Arno Dimmler	55	GER	Erlangen		
2	Maxi Klaus	49	GER	Oberstdorf		
3	Markus Zöll	53	GER	Nideggen		
4	Udo Neumann	59	GER	Köln 80		
5	Philipp Hrozek	40	GER	Kulmbach	188	190
6	Thomas Meier	62	GER	Amberg		
7	Martin Schlageter	56	GER	Sinzheim	178	182
8	Christopher Smolkovic	36	GER	Köln		
9	Philipp Abels	35	GER	Pöcking		
10	Ludwig Korb	55	GER	Lauf		
11	Andreas Engelhard	58	GER	Stuttgart		
12	Michael Füchsle	55	GER	Bobingen		
13	Friederike Kops	38	GER	Wuppertal		
14	Korbinian Franck	32	GER	Feilnbach		
15	Christoph Reichert	47	GER	Fürth		
16	Marcel Richter	33	GER	Ehrwald	150	
17	Friederike Tautz	30	GER	Oer-Erkenschwick		
18	Matthias Keller	48	GER	München		
19	Benjamin Boschert	36	GER	Lichtenau		
20	Dominik Hlawna	29	GER	München		
21	Florian Singer	23	GER	Bad Feilnbach		
22	Urs Stöcker	45	GER	Frauenfeld (CH)		
23	Sebastian Depke	36	GER	Kemmenau	145	
24	Kevin Bartke	36	GER	Fürth		
25	Moritz Neubauer	42	GER	Dresden		
26	Mariana Fütterer	35	GER	Karlsruhe		
27	Nicolas Perreth	37	GER	Munich	183	191
28	Jaqueline Fritz	37	GER	Birkenhördt		
29	Martin Veith	39	GER	Elkenroth		
30	Alexei Kozlov		RUS	Ekatareinburg		
31	Alexandre Minaev	53	RUS	Ekaterinburg		
32	Alexei Shalygin		RUS			
33	Alexander Sisintsev	50	RUS	Moscow		
35	Boris Inozemzev	54	RUS	St.Petersburg		
36	Dmitrii Bychkov	43	RUS	Moscow		
37	Jury Krasilnikov		RUS			
38	Vladimir Netsvetaev-Dolgalev	51	RUS	Moscow		
39	Mayya Piratinskaya	45	RUS	Ekaterinburg		
40	Natalia Titova	43	RUS	Korkino		
41	Olga Bibik	45	RUS	Krasnoyarsk		
42	Tatiana Ruyga	43	RUS	Krasnoyarsk		
43	Yulia Abramchuk	39	RUS	Saint-Petersburg		
44	Olga Iakovleva	39	RUS	Saint-Petersburg		
45	Valentina Yurina	36	RUS	Yekaterinburg		
46	Anna Stenkovaya	37	RUS	Nikopol		
47	Vasily Kozlov	35	RUS	Krasnoyarsk		
48	Sergei Sinitcyn	38	RUS	Ekaterinburg		
49	Evgeniia Malamid	34	RUS	Voronezh		
50	Tatiana Shemulinkina	34	RUS	Moscow		
51	Alexander Kosterin	35	RUS	Ekaterinburg		
52	Alexander Peshekhonov	43	RUS	Meleuz		
53	Dmitrii Sharafutdinov	35	RUS	Yekaterinburg		
54	Anatoly Skripov	34	RUS	Ekaterinburg		
55	Ekaterina Kipriianova	32	RUS	Saint-Petersburg		
56	Evgenii Vaitsekhovskii	35	RUS	Ufa		
57	Stanislav Lobzov	37	RUS	Tyumen		
58	Yana Chereshneva	33	RUS	Moscow		
59	Alexander Stepanov	31	RUS	Kaliningrad, Guryevsk		
60	Rustam Gelmanov	34	RUS	Eindhoven		
61	Mikhail Chernikov	37	RUS	Voronezh		
62	Alina Gaidamakina	31	RUS	Tyumen		
63	Kseniya Polekhina	32	RUS	Krasnoyarsk		
64	Sergey Abdrakhmanov	32	RUS	Tyumen		
65	Evgenii Zazulin	30	RUS	Kaliningrad		
66	Arman Ter-Minasyan	30	RUS	Moscow		
67	Vadim Timonov	29	RUS	Saint-Petersburg		
68	Dinara Fakhritdinova	29	RUS	Gubkinsky	152	
69	Aleksei Shchervianin	33	RUS	Kaliningrad		
70	Anna Zaikina	28	RUS	Saint-Petersburg		
71	Galina Terenteva	32	RUS	Krasnoyarsk		
72	Yury Novitskiy	33	RUS	Ekaterinburg		
73	Anna Tsyganova	28	RUS	Krasnoyarsk		
74	Stanislav Kokorin	32	RUS	Tyumen		
75	Ekaterina Novitskaia	30	RUS	Ekaterinburg		
76	Artem Savelyev	27	RUS	Tyumen		
77	Nataliia Stepanova	28	RUS	Ufa		
78	Nikita Suyushkin	27	RUS	Korkino		
79	Aleksey Rubtsov	33	RUS	Moscow	178	185
80	Mikhail Kochetkov	39	RUS	Kaliningrad		
81	Yuliya Levochkina	32	RUS	Krasnoyarsk		
82	Mariia Krasavina	31	RUS	Tyumen		
83	Georgy Derkachev	31	RUS	Moscow		
84	Evgenii Kalashnikov	29	RUS	Saint-Petersburg		
85	Sergei Luzhetskii	26	RUS	Voronezh		
86	Arsenii Shevchenko	31	RUS	Tyumen		
87	Irina Kuzmenko	26	RUS	Saint-Petersburg	171	
88	Vsevolod Ilinykh	28	RUS	Kemerovo		
89	Sergei Skorodumov	25	RUS	Saint-Petersburg		
90	Artem Petrakov	30	RUS	Moscow		
91	Anna Margolina	26	RUS	Moscow		
